모델명,제조사,유종,배기량,변속형식,A,등급,B,자동차유형
코나(PE) 1.6T-GDI 4WD 16인치타이어,현대,휘발유,1598,자동7,12.2,3등급,137,다목적형
A4 40 TFSI,아우디,휘발유,1984,자동7,12.2,3등급,140,일반형
"셀토스 1.6T-GDI 2WD (17"" 타이어)",기아,휘발유,1591,자동7,12.2,3등급,137,다목적형
Altima 2.0,닛산,휘발유,1997,무단변속,12.2,3등급,139,일반형
"쏘울 1.6T-GDI (18"" 타이어)",기아,휘발유,1591,자동7,12.2,3등급,137,일반형
K3 1.6 T-GDI 4DR 6MT (ALL SEASON TIRE),기아,휘발유,1591,수동6,12.2,3등급,138,일반형
K3 1.6 T-GDI 4DR 7DCT (ALL SEASON TIRE),기아,휘발유,1591,자동7,12.2,3등급,138,일반형
"SM6 2.0(17"" Tire)",르노삼성,휘발유,1997,자동7,12.2,3등급,139,일반형
MINI Cooper five-door,MINI,휘발유,1499,자동7,12.1,3등급,140,일반형
티볼리 가솔린 1.5 MT 2WD 기준4,쌍용,휘발유,1497,수동6,12.1,3등급,136,기타형
K3 1.6 T-GDI 4DR 7DCT (SUMMER TIRE),기아,휘발유,1591,자동7,12.1,3등급,139,일반형
K3 1.6 T-GDI 5DR 7DCT (ALL SEASON TIRE),기아,휘발유,1591,자동7,12.1,3등급,139,일반형
K5 2.0CVVL 개조차_17인치 타이어 (15),기아,휘발유,1999,자동6,12.1,3등급,137,일반형
Passat 2.0 TSI,폭스바겐,휘발유,1984,자동6,12.1,3등급,142,일반형
MINI Cooper S Convertible,MINI,휘발유,1998,자동6,12.1,3등급,141,일반형
투싼 1.6T-GDI 2WD 7DCT 19인치,현대,휘발유,1598,자동7,12,3등급,139,다목적형
BMW 530i,BMW,휘발유,1998,자동8,12,3등급,139,일반형
투싼 1.6T-GDI 2WD 7DCT 19인치 (빌트인캠),현대,휘발유,1598,자동7,12,3등급,139,다목적형
티볼리 가솔린 1.5 AT 2WD 저공해3종 16인치 타이어,쌍용,휘발유,1497,자동6,12,3등급,138,기타형
아반떼 1.6T-GDI_7DCT (19MY),현대,휘발유,1591,자동7,12,3등급,138,일반형
"QM6 New 2.0 (17"" Tire)",르노삼성,휘발유,1997,무단변속,12,3등급,140,다목적형
렉서스 NX300h,토요타,휘발유,2494,무단변속,12,3등급,140,다목적형
"SM6 2.0(18"" Tire)",르노삼성,휘발유,1997,자동7,12,3등급,141,일반형
그랜저(IG개조) 2.5 GDI_17인치타이어,현대,휘발유,2497,자동8,11.9,3등급,142,일반형
K7 2.5 GDI (PE/17”타이어),기아,휘발유,2497,자동8,11.9,3등급,142,일반형
K3 1.6 T-GDI 5DR 7DCT (SUMMER TIRE),기아,휘발유,1591,자동7,11.9,3등급,141,일반형
"투싼 개조차 1.6T-GDI 2WD (17""타이어)",현대,휘발유,1591,자동7,11.9,3등급,141,다목적형
MINI Cooper Convertible,BMW,휘발유,1499,자동6,11.9,3등급,144,다목적형
코나(OS PE) 2.0 가솔린 4WD_16/17인치타이어,현대,휘발유,1999,무단변속,11.8,3등급,142,다목적형
트레일블레이저 1.35 TURBO AWD,한국지엠,휘발유,1341,자동9,11.8,3등급,143,다목적형
BMW 320i,BMW,휘발유,1998,자동8,11.8,3등급,142,일반형
코나(PE) 1.6T-GDI 4WD 17인치타이어,현대,휘발유,1598,자동7,11.8,3등급,142,다목적형
A4 40 TFSI,아우디,휘발유,1984,자동7,11.8,3등급,144,일반형
"SM6 1.8 (18"" Tire)",르노삼성,휘발유,1798,자동7,11.8,3등급,141,일반형
티볼리 가솔린 1.5 AT 2WD 저공해3종 18인치 타이어,쌍용,휘발유,1497,자동6,11.8,3등급,140,기타형
트레일블레이저 1.35 TURBO AWD,한국지엠,휘발유,1341,자동9,11.8,3등급,144,다목적형
A6 45 TFSI,아우디,휘발유,1984,자동7,11.8,3등급,144,일반형
"셀토스 1.6T-GDI 2WD (18"" 타이어)",기아,휘발유,1591,자동7,11.8,3등급,143,다목적형
i30 1.6T-GDI_7DCT (N_Line),현대,휘발유,1591,자동7,11.8,3등급,143,일반형
벨로스터 1.6T-GDI_7DCT (15),현대,휘발유,1591,자동7,11.8,3등급,140,일반형
트랙스 1.4,한국지엠,휘발유,1362,자동6,11.8,3등급,143,일반형
BMW 320i Touring,BMW,휘발유,1998,자동8,11.7,3등급,143,일반형
MINI Cooper S five-door,MINI,휘발유,1998,자동7,11.7,3등급,146,일반형
A3 40 TFSI,아우디,휘발유,1984,자동7,11.7,3등급,145,일반형
HR-V 2WD,혼다,휘발유,1799,무단변속,11.7,3등급,141,다목적형
MINI Cooper S Clubman,MINI,휘발유,1998,자동8,11.7,3등급,146,일반형
코나(OS PE) 2.0 가솔린 4WD_18인치타이어,현대,휘발유,1999,무단변속,11.6,3등급,145,다목적형
볼보 S60B5,볼보,휘발유,1969,자동8,11.6,3등급,145,일반형
트레일블레이저 1.35 TURBO AWD,한국지엠,휘발유,1341,자동9,11.6,3등급,146,다목적형
코나(PE) 1.6T-GDI 4WD 18인치타이어,현대,휘발유,1598,자동7,11.6,3등급,145,다목적형
MINI Cooper Countryman ,MINI,휘발유,1499,자동7,11.6,3등급,144,일반형
투싼 1.6T-GDI AWD 7DCT 17/18인치,현대,휘발유,1598,자동7,11.6,3등급,145,다목적형
"SM6 1.8 (19"" Tire)",르노삼성,휘발유,1798,자동7,11.6,3등급,144,일반형
Mercedes-Benz A 250 4MATIC,벤츠,휘발유,1991,자동7,11.6,3등급,148,일반형
트레일블레이저 1.35 TURBO AWD,한국지엠,휘발유,1341,자동9,11.6,3등급,147,다목적형
그랜저(IG개조) 2.5 GDI_18인치타이어,현대,휘발유,2497,자동8,11.6,3등급,146,일반형
"투싼 개조차 1.6T-GDI 2WD (20MY_18""타이어)",현대,휘발유,1591,자동7,11.6,3등급,144,다목적형
MINI Cooper Convertible,MINI,휘발유,1499,자동7,11.6,3등급,146,일반형
MINI Cooper S,MINI,휘발유,1998,자동7,11.6,3등급,146,일반형
아반떼 1.6T-GDI (19MY),현대,휘발유,1591,수동6,11.6,3등급,142,일반형
K7 2.5 GDI (PE/18”타이어),기아,휘발유,2497,자동8,11.6,3등급,147,일반형
"QM6 New 2.0 (19"" Tire)",르노삼성,휘발유,1997,무단변속,11.6,3등급,146,다목적형
티볼리 가솔린 1.5 AT 2WD  기준4 (16인치 타이어),쌍용,휘발유,1497,자동6,11.6,3등급,143,기타형
"투싼 개조차 1.6T-GDI 2WD (18""타이어)",현대,휘발유,1591,자동7,11.6,3등급,144,다목적형
K5 2.0CVVL 개조차_18인치 타이어 (15),기아,휘발유,1999,자동6,11.6,3등급,144,일반형
MINI Cooper S Convertible,BMW,휘발유,1998,자동6,11.6,3등급,147,일반형
MINI Cooper Clubman,MINI,휘발유,1499,자동6,11.6,3등급,147,일반형
Mercedes-Benz  A250 4MATIC,벤츠,휘발유,1991,자동7,11.5,4등급,150,일반형
BMW 420i Coupe,BMW,휘발유,1998,자동8,11.5,4등급,145,일반형
Mercedes-Benz GLB 220,벤츠,휘발유,1991,자동8,11.5,4등급,150,일반형
토요타 RAV4,토요타,휘발유,2487,자동8,11.5,4등급,143,다목적형
코란도 가솔린 1.5 AT 2WD 저공해3종 17인치,쌍용,휘발유,1497,자동6,11.5,4등급,144,다목적형
Mercedes-Benz C 200,벤츠,휘발유,1991,자동9,11.5,4등급,150,일반형
CR-V 4WD,혼다,휘발유,1498,무단변속,11.5,4등급,145,다목적형
Mercedes-Benz CLA 250 4MATIC,벤츠,휘발유,1991,자동7,11.5,4등급,150,일반형
CR-V 4WD,혼다,휘발유,1498,무단변속,11.5,4등급,145,다목적형
MINI Cooper S Convertible,MINI,휘발유,1998,자동7,11.5,4등급,148,일반형
MINI Cooper Clubman ,MINI,휘발유,1499,자동7,11.5,4등급,147,일반형
A3 40 TFSI,아우디,휘발유,1984,자동7,11.5,4등급,146,일반형
렉서스 LS500h 2WD,토요타,휘발유,3456,무단변속,11.5,4등급,147,일반형
A6 45 TFSI quattro,아우디,휘발유,1984,자동7,11.4,4등급,150,일반형
티볼리 가솔린 1.5 AT 2WD 기준4 (18인치 타이어),쌍용,휘발유,1497,자동6,11.4,4등급,145,기타형
토요타 RAV4 2WD,토요타,휘발유,2487,자동8,11.4,4등급,145,다목적형
CR-V 4WD,혼다,휘발유,1498,무단변속,11.4,4등급,145,다목적형
CR-V 4WD,혼다,휘발유,1498,무단변속,11.4,4등급,145,다목적형
i30 1.6T-GDI_6MT (N_Line),현대,휘발유,1591,수동6,11.4,4등급,148,일반형
MINI Cooper Countryman,BMW,휘발유,1499,자동6,11.4,4등급,151,다목적형
볼보 S90B5,볼보,휘발유,1969,자동8,11.3,4등급,150,일반형
투싼 1.6T-GDI AWD 7DCT 18인치 (빌트인캠),현대,휘발유,1598,자동7,11.3,4등급,148,다목적형
A5 Sportback 40 TFSI quattro,아우디,휘발유,1984,자동7,11.3,4등급,150,일반형
코란도 가솔린 1.5 AT 2WD 저공해3종 19인치,쌍용,휘발유,1497,자동6,11.3,4등급,147,다목적형
토요타 86 AT,토요타,휘발유,1998,자동6,11.3,4등급,147,일반형
"투싼 개조차 1.6T-GDI 2WD (20MY_19""타이어)",현대,휘발유,1591,자동7,11.3,4등급,148,다목적형
코란도 가솔린 1.5 AT 2WD 저공해3종 17인치,쌍용,휘발유,1497,자동6,11.3,4등급,147,다목적형
"투싼 개조차 1.6T-GDI 2WD (19""타이어)",현대,휘발유,1591,자동7,11.3,4등급,148,다목적형
"코나 1.6T-GDI 4WD (16""타이어) (15)",현대,휘발유,1591,자동7,11.3,4등급,147,다목적형
스팅어(CK PE) 2.5T-GDI 2WD_18인치타이어,기아,휘발유,2497,자동8,11.2,4등급,151,일반형
K7 2.4GDI 18MY (17인치타이어) (15),기아,휘발유,2359,자동6,11.2,4등급,150,일반형
BMW 430i Coupe,BMW,휘발유,1998,자동8,11.2,4등급,154,일반형
BMW 530i,BMW,휘발유,1998,자동8,11.2,4등급,153,일반형
"그랜저 2.4GDI (17""타이어) (15)",현대,휘발유,2359,자동6,11.2,4등급,150,일반형
BMW 430i Coupe,BMW,휘발유,1998,자동8,11.1,4등급,150,일반형
쏘나타(DN8) 2.5 T-GDI_19인치타이어,현대,휘발유,2497,자동8,11.1,4등급,152,일반형
"Mercedes-Benz C 200 Coupe	",벤츠,휘발유,1991,자동9,11.1,4등급,156,일반형
그랜저(IG개조) 2.5 GDI_19인치타이어,현대,휘발유,2497,자동8,11.1,4등급,153,일반형
BMW 520i,BMW,휘발유,1998,자동8,11.1,4등급,152,일반형
코란도 가솔린 1.5 AT 2WD 저공해3종 19인치,쌍용,휘발유,1497,자동6,11.1,4등급,149,다목적형
"셀토스 1.6T-GDI 4WD (17"" 타이어)",기아,휘발유,1591,자동7,11.1,4등급,153,다목적형
"셀토스 1.6T-GDI 4WD (16"" 타이어)",기아,휘발유,1591,자동7,11.1,4등급,152,다목적형
K7 2.5 GDI (PE/19”타이어),기아,휘발유,2497,자동8,11.1,4등급,153,일반형
BMW 330i,BMW,휘발유,1998,자동8,11.1,4등급,153,일반형
MINI John Cooper Works Convertible,MINI,휘발유,1998,자동6,11.1,4등급,154,일반형
K7 2.4GDI 18MY (18인치타이어) (15),기아,휘발유,2359,자동6,11.1,4등급,152,일반형
"코나 1.6T-GDI 4WD (17""타이어) (15)",현대,휘발유,1591,자동7,11.1,4등급,150,다목적형
BMW 420i Coupe,BMW,휘발유,1998,자동8,11.1,4등급,154,일반형
BMW 430i Convertible,BMW,휘발유,1998,자동8,11.1,4등급,156,일반형
BMW 420i Gran Coupe,BMW,휘발유,1997,자동8,11.1,4등급,155,일반형
투싼 1.6T-GDI AWD 7DCT 19인치,현대,휘발유,1598,자동7,11,4등급,153,다목적형
BMW 530i xDrive,BMW,휘발유,1998,자동8,11,4등급,153,일반형
쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치타이어,기아,휘발유,2497,자동8,11,4등급,153,다목적형
투싼 1.6T-GDI AWD 7DCT 19인치 (빌트인캠),현대,휘발유,1598,자동7,11,4등급,153,다목적형
BMW 320i,BMW,휘발유,1998,자동8,11,4등급,154,일반형
캐딜락 CT6 2.0T,GM,휘발유,1998,자동10,11,4등급,156,일반형
캐딜락 ATS COUPE,GM,휘발유,1998,자동8,11,4등급,157,일반형
캐딜락 ATS RWD,GM,휘발유,1998,자동8,11,4등급,157,일반형
E300 (AMG Line),벤츠,휘발유,1991,자동9,11,4등급,158,일반형
"코나 1.6T-GDI 4WD (18""타이어) (15)",현대,휘발유,1591,자동7,11,4등급,151,다목적형
토요타 86 AT,토요타,휘발유,1998,자동6,11,4등급,151,일반형
토요타 86 MT,토요타,휘발유,1998,수동6,11,4등급,151,일반형
"그랜저 2.4GDI (18""타이어) (15)",현대,휘발유,2359,자동6,11,4등급,153,일반형
쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치(빌트인캠),기아,휘발유,2497,자동8,10.9,4등급,154,다목적형
쏘나타(DN8) 2.5 T-GDI_19인치타이어(빌트인캠),현대,휘발유,2497,자동8,10.9,4등급,155,일반형
"셀토스 1.6T-GDI 4WD (18"" 타이어)",기아,휘발유,1591,자동7,10.9,4등급,155,다목적형
BMW 520i,BMW,휘발유,1998,자동8,10.9,4등급,153,일반형
"투싼 개조차 1.6T-GDI AWD (17""타이어)",현대,휘발유,1591,자동7,10.9,4등급,154,다목적형
렉서스 LC500h,토요타,휘발유,3456,무단변속,10.9,4등급,155,일반형
MINI Clubman John Cooper Works ALL4,MINI,휘발유,1998,자동8,10.9,4등급,158,일반형
Mercedes-Benz C200 Coupe,벤츠,휘발유,1991,자동9,10.8,4등급,158,일반형
Mercedes-Benz C200,벤츠,휘발유,1991,자동9,10.8,4등급,158,일반형
싼타페(개조) 2.5T-GDI 2WD 5인 18인치(빌트인캠),현대,휘발유,2497,자동8,10.8,4등급,156,다목적형
싼타페(개조) 2.5T-GDI 2WD 5인 18인치타이어,현대,휘발유,2497,자동8,10.8,4등급,156,다목적형
스팅어(CK PE) 2.5T-GDI 2WD_19인치(올시즌),기아,휘발유,2497,자동8,10.8,4등급,156,일반형
A5 Coupe 45 TFSI quattro,아우디,휘발유,1984,자동7,10.8,4등급,159,일반형
티볼리 가솔린 1.5 AT AWD 저공해3종,쌍용,휘발유,1497,자동6,10.8,4등급,154,기타형
G80 2.5T-GDI 2WD 18인치타이어,현대,휘발유,2497,자동8,10.8,4등급,157,일반형
토요타 86 MT,토요타,휘발유,1998,수동6,10.8,4등급,154,일반형
A5 Cabriolet 45 TFSI quattro,아우디,휘발유,1984,자동7,10.8,4등급,160,일반형
MINI John Cooper Works Convertible,MINI,휘발유,1998,자동8,10.8,4등급,157,일반형
"스포티지 2.0MPI (PE/17""타이어)",기아,휘발유,1999,자동6,10.8,4등급,156,다목적형
ACCORD 2.0T,혼다,휘발유,1996,자동10,10.8,4등급,158,일반형
MINI Cooper S Countryman ALL4,BMW,휘발유,1998,자동8,10.8,4등급,158,다목적형
"그랜저 2.4GDI (19""타이어) (15)",현대,휘발유,2359,자동6,10.8,4등급,155,일반형
E300,벤츠,휘발유,1991,자동9,10.8,4등급,161,일반형
말리부 2.0 TURBO,한국지엠,휘발유,1998,자동6,10.8,4등급,160,일반형
GV70 2.5T-GDI 2WD 18인치,현대,휘발유,2497,자동8,10.7,4등급,158,다목적형
G70(IK PE) 2.0T-GDI 2WD 18인치타이어,현대,휘발유,1998,자동8,10.7,4등급,158,일반형
MINI Cooper S Countryman ALL4,MINI,휘발유,1998,자동8,10.7,4등급,159,다목적형
벨로스터 N 2.0T-GDI (STD)_21MY,현대,휘발유,1998,수동6,10.7,4등급,159,일반형
G80 2.5T-GDI 2WD 18인치 (빌트인캠),현대,휘발유,2497,자동8,10.7,4등급,158,일반형
"투싼 개조차 1.6T-GDI AWD (20MY_18""타이어)",현대,휘발유,1591,자동7,10.7,4등급,157,다목적형
MINI Cooper Countryman ,MINI,휘발유,1499,자동7,10.7,4등급,159,일반형
G70 2.0T-GDI 2WD_18인치 타이어_20MY,현대,휘발유,1998,자동8,10.7,4등급,156,일반형
SLC250 ,벤츠,휘발유,1991,자동9,10.7,4등급,163,일반형
BMW Z4 sDrive20i,BMW,휘발유,1998,자동8,10.7,4등급,159,일반형
"투싼 개조차 1.6T-GDI AWD (18""타이어)",현대,휘발유,1591,자동7,10.7,4등급,157,다목적형
벨로스터 N 2.0T-GDI (STD),현대,휘발유,1998,수동6,10.7,4등급,159,일반형
K7 2.4GDI 18MY (19인치타이어) (15),기아,휘발유,2359,자동6,10.7,4등급,156,일반형
G70 2.0T-GDI 2WD (18인치 타이어) (15),현대,휘발유,1998,자동8,10.7,4등급,156,일반형
GV70 2.5T-GDI 2WD 18인치(빌트인캠),현대,휘발유,2497,자동8,10.6,4등급,160,다목적형
쏘렌토(MQ4) 2.5T-GDI 2WD 6인 18인치타이어,기아,휘발유,2497,자동8,10.6,4등급,159,다목적형
쏘렌토(MQ4) 2.5T-GDI 2WD 7인 18인치타이어,기아,휘발유,2497,자동8,10.6,4등급,159,다목적형
스팅어(CK PE) 2.5T-GDI 2WD_19인치(썸머),기아,휘발유,2497,자동8,10.6,4등급,160,일반형
캐딜락 CT4 2.0T,GM,휘발유,1998,자동8,10.6,4등급,161,일반형
G80 2.5T-GDI 2WD 20인치타이어,현대,휘발유,2497,자동8,10.6,4등급,160,일반형
G80 2.5T-GDI 2WD 19인치타이어,현대,휘발유,2497,자동8,10.6,4등급,160,일반형
A5 Sportback 45 TFSI quattro,아우디,휘발유,1984,자동7,10.6,4등급,162,일반형
MINI Cooper S Clubman,MINI,휘발유,1998,자동7,10.6,4등급,161,일반형
재규어 XF 25t,재규어,휘발유,1997,자동8,10.6,4등급,160,일반형
렉서스 LS500h AWD,토요타,휘발유,3456,무단변속,10.6,4등급,161,일반형
캐딜락 ATS COUPE,GM,휘발유,1998,자동8,10.6,4등급,165,일반형
캐딜락 ATS,GM,휘발유,1998,자동8,10.6,4등급,165,일반형
Mercedes-Benz GLA250 4MATIC,벤츠,휘발유,1991,자동8,10.5,4등급,170,다목적형
Mercedes-Benz GLB250 4MATIC,벤츠,휘발유,1991,자동8,10.5,4등급,170,다목적형
G70(IK PE) 2.0T-GDI 2WD 19인치(올시즌)_SP,현대,휘발유,1998,자동8,10.5,4등급,162,일반형
G70(IK PE) 2.0T-GDI 2WD 19인치(올시즌),현대,휘발유,1998,자동8,10.5,4등급,162,일반형
G70(IK PE) 2.0T-GDI 2WD 18인치(빌트인캠),현대,휘발유,1998,자동8,10.5,4등급,162,일반형
싼타페(개조) 2.5T-GDI 2WD 7인 18인치타이어,현대,휘발유,2497,자동8,10.5,4등급,161,다목적형
말리부 2.0 TURBO,한국지엠,휘발유,1998,자동6,10.5,4등급,163,일반형
A4 45 TFSI quattro,아우디,휘발유,1984,자동7,10.5,4등급,164,일반형
A5 Cabriolet 45 TFSI quattro,아우디,휘발유,1984,자동7,10.5,4등급,164,일반형
벨로스터 N 2.0T-GDI (PP)_21MY,현대,휘발유,1998,수동6,10.5,4등급,162,일반형
코란도 가솔린 1.5 AT 4WD 저공해3종,쌍용,휘발유,1497,자동6,10.5,4등급,159,다목적형
Mercedes-Benz E 250,벤츠,휘발유,1991,자동9,10.5,4등급,165,일반형
G70 2.0T-GDI 2WD (19인치 올시즌타이어) ,현대,휘발유,1998,자동8,10.5,4등급,161,일반형
"스포티지 2.0MPI (PE/18"",19""타이어) (19)",기아,휘발유,1999,자동6,10.5,4등급,161,다목적형
"스포티지 2.0MPI (PE/18"",19""타이어)",기아,휘발유,1999,자동6,10.5,4등급,161,다목적형
벨로스터 N 2.0T-GDI (PP),현대,휘발유,1998,수동6,10.5,4등급,162,일반형
캐딜락 CTS,GM,휘발유,1998,자동8,10.5,4등급,168,일반형
G70(IK PE) 2.0T-GDI 2WD 19인치(썸머)_SP,현대,휘발유,1998,자동8,10.4,4등급,163,일반형
G70(IK PE) 2.0T-GDI 2WD 19인치(썸머),현대,휘발유,1998,자동8,10.4,4등급,163,일반형
볼보 XC40B4 AWD,볼보,휘발유,1969,자동8,10.4,4등급,163,다목적형
싼타페(개조) 2.5T-GDI 2WD 7인 18인치(빌트인캠),현대,휘발유,2497,자동8,10.4,4등급,162,다목적형
MINI John Cooper Works Countryman ALL4,MINI,휘발유,1998,자동8,10.4,4등급,162,일반형
A5 Sportback 45 TFSI quattro,아우디,휘발유,1984,자동7,10.4,4등급,165,일반형
BMW M235i xDrive Gran Coupe,BMW,휘발유,1998,자동8,10.4,4등급,161,일반형
벤츠 C 200 Cabriolet,벤츠,휘발유,1991,자동9,10.4,4등급,167,일반형
재규어 XE P250,재규어,휘발유,1997,자동8,10.4,4등급,158,일반형
A5 Coupe 45 TFSI quattro,아우디,휘발유,1984,자동7,10.4,4등급,166,일반형
"투싼 개조차 1.6T-GDI AWD (20MY_19""타이어)",현대,휘발유,1591,자동7,10.4,4등급,162,다목적형
BMW 530i,BMW,휘발유,1998,자동8,10.4,4등급,163,일반형
